10.48550/arxiv.2403.06667	Data Structures and Algorithms (cs.DS)	Combinatorics (math.CO)	FOS: Computer and information sciences	FOS: Computer and information sciences	FOS: Mathematics	FOS: Mathematics
10.4230/lipics.cpm.2017.22	tandem repeats	distinct squares	counting algorithms
10.4230/lipics.esa.2020.32	2D-run	quartic	run	square	Theory of computation → Pattern matching
10.4230/lipics.icalp.2021.63	String algorithms	Lyndon array	runs	squares	longest common extension	general ordered alphabets	combinatorics on words	Theory of computation → Design and analysis of algorithms
10.48550/arxiv.2007.08179	Data Structures and Algorithms (cs.DS)	FOS: Computer and information sciences	FOS: Computer and information sciences
10.48550/arxiv.2311.15511	Combinatorics (math.CO)	Data Structures and Algorithms (cs.DS)	FOS: Mathematics	FOS: Mathematics	FOS: Computer and information sciences	FOS: Computer and information sciences
10.4230/lipics.cpm.2018.7	Lempel-Ziv 1977	Matching Statistics	Run-Length Compressed Burrows-Wheeler Transform	Theory of computation → Data compression
10.4230/lipics.cpm.2021.16	weighted de Bruijn graphs	k-mer annotation	compressed data structures	partial sums	Theory of computation → Data compression	Theory of computation → Data structures design and analysis
10.48550/arxiv.2208.04931	Formal Languages and Automata Theory (cs.FL)	Data Structures and Algorithms (cs.DS)	FOS: Computer and information sciences	FOS: Computer and information sciences
10.4230/lipics.cpm.2021.17	Hierarchical Overlap Graphs	String algorithms	Genome assembly	Mathematics of computing → Trees	Theory of computation → Data compression	Theory of computation → Pattern matching
10.4230/lipics.cpm.2021.22	overlap graph	hierarchical overlap graph	shortest superstring problem	border array	Theory of computation → Pattern matching
10.4230/lipics.isaac.2016.18	Relative compression	dynamic compression	dynamic partial sum	sub-string concatenation	external macro compression
10.4230/lipics.isaac.2016.34	Suffix Tree	Sparsification	Rabin-Karp Fingerprint	Probabilistic z-Fast Trie	Succinct Data-Structures
10.4230/lipics.cpm.2016.4	weighted sequence	position weight matrix	indexing	weighted suffix tree
10.4230/lipics.isaac.2016.46	weighted sequence	position weight matrix	profile matching
10.4230/lipics.stacs.2017.19	Unavoidable patterns	combinatorics on words	lower bounds
10.4230/lipics.sea.2017.13	lossless compression	compression framework	compression library	algorithm engineering	application of string algorithms
10.4230/lipics.sea.2017.11	C++	dynamic	compression	data structure	bitvector	string
10.4230/lipics.sea.2017.15	Text Indexing	Succinct Data Structures	Top-k Document Retrieval
10.4230/lipics.esa.2016.61	LCP array	suffix array	external memory algorithms
10.4230/lipics.sea.2017.17	LCP array	suffix array	external memory algorithms
10.4230/lipics.sea.2017.16	Wavelet tree	Online construction
10.4230/lipics.cpm.2017.1	compressed data structures	pattern matching
10.4230/lipics.fsttcs.2014.291	Data Structures	Order Statistics	Succinct Data Structures	Space-efficient Data Structures
10.4230/lipics.fsttcs.2016.36	Compression	Grammars	Finger search	Algorithms
10.4230/lipics.cpm.2017.19	string algorithms	indexing	jumbled pattern matching	run-length encoding
10.4230/lipics.cpm.2017.17	Lempel-Ziv	Burrows-Wheeler transform	compressed computation	repetitive text collections
10.4230/lipics.cpm.2017.4	repetitive string collections	document listing	grammar compression	range minimum queries	succinct data structures
10.4230/lipics.cpm.2017.7	CDAWG	suffix tree	heavy path decomposition	maximal repeat	context-free grammar
10.4230/lipics.mfcs.2016.69	string algorithms	shortest unique substring	run-length encoding
10.4230/lipics.cpm.2017.24	shortest unique substrings	maximal unique substrings
10.4230/lipics.stacs.2016.39	combinatorics on words	counting algorithms
10.4230/lipics.cpm.2017.16	compressed indexing	pattern matching	LZ77	prefix search
10.4230/lipics.cpm.2017.20	longest common subsequence	STR-IC-LCS	run-length encoding
10.4230/lipics.icalp.2017.25	Dynamic Time Warping	Geometric Edit Distance	Time Series	Points Matching	Geometric Matching
10.4230/lipics.icalp.2017.62	LCP array	string inference	BWT	suffix array	suffix tree	NP-hardness
10.4230/lipics.mfcs.2017.18	Word Equations	Regular Patterns	Regular Constraints
10.4230/lipics.mfcs.2017.20	binary search	graph	approximate query	probabilistic algorithm	lower bound.
10.4230/lipics.esa.2017.16	Dynamic Arrays	Tiered Vectors
10.4230/lipics.esa.2017.58	Dynamic data structures	open addressing	closed hashing	cuckoo hashing	space efficiency
